date,lq45,jci,idx30,eido,spy,dom_b,dom_s,for_b,for_s
2012-07-19,700.12,4096.2,353.19,29.42,137.73,2.2425,2.6454,2.4381,2.0352
2012-07-20,695.6,4081.2,350.75,28.86,136.47,2.0344,2.0963,1.9121,1.8502
2012-07-23,682.43,4009.79,344.17,28.3,135.09,2.141,2.0039,1.3062,1.4433
2012-07-24,678.1,3992.11,342.07,28.19,133.93,1.975,1.8442,1.5327,1.6634
2012-07-25,678.81,4000.84,342.29,28.33,133.96,2.324,1.6599,1.5001,2.1643
2012-07-26,680.63,4004.78,343.44,28.86,136.17,1.6968,1.4357,1.207,1.4681
2012-07-27,698.86,4084.21,353.44,29.66,138.68,2.8382,5.0455,3.7751,1.5678
2012-07-30,702.29,4099.12,355.3,29.52,138.68,2.0133,2.7515,2.2942,1.5561
2012-07-31,712.77,4142.34,361.07,29.76,137.71,2.8764,4.0961,3.2867,2.0671
2012-08-01,710.49,4130.47,359.48,29.61,137.59,2.5871,2.7282,2.3179,2.1769
2012-08-02,702.1,4093.11,355.22,29.04,136.64,1.9706,2.128,1.9052,1.7478
2012-08-03,703.76,4099.81,355.42,29.85,139.35,2.0349,1.7281,1.4235,1.7302
2012-08-06,703.75,4105.5,355.31,29.61,139.62,2.0843,2.0026,1.4619,1.5436
2012-08-07,699.3,4085.58,353.24,29.61,140.32,2.8613,2.9819,2.4993,2.3788
2012-08-08,701.16,4090.71,354.34,29.61,140.49,1.9555,2.0803,1.9927,1.8679
2012-08-10,713.49,4141.56,360.88,29.93,140.84,1.9169,2.5858,1.7141,1.0453
2012-08-13,706.03,4102.53,357.08,29.35,140.77,1.7734,1.9357,1.3861,1.2239
2012-08-14,709.98,4121.56,358.94,29.47,140.79,1.3623,1.4964,1.1732,1.0391
2012-08-15,715.42,4141.99,362.4,29.69,140.95,1.5935,1.9092,1.4891,1.1734
2012-08-16,718.57,4160.51,364.27,30.1,141.99,2.1199,2.2533,1.6585,1.5251
2012-08-23,718.12,4162.66,363.7,29.59,140.66,1.7974,1.94,2.6201,2.4776
2012-08-24,713.26,4145.4,360.81,29.52,141.51,1.5778,1.3747,1.5627,1.7659
2012-08-27,713.21,4145.88,360.92,29.29,141.54,0.5494,0.5602,0.4568,0.446
2012-08-28,711.94,4142.85,360.14,29.09,141.4,2.0309,2.0524,1.3477,1.3262
2012-08-29,702.22,4093.17,355.21,28.65,141.51,2.5645,2.284,1.6926,1.9731
2012-08-30,688.75,4025.58,348.67,27.85,140.49,2.6452,2.0151,1.5632,2.1932
2012-08-31,695.53,4060.33,351.66,28.35,141.16,3.0077,2.1125,2.0509,2.9461
2012-09-03,706.73,4117.95,357.68,28.35,141.16,2.1633,2.3432,1.4074,1.2275
2012-09-04,704.37,4105.25,356.54,28.43,141.03,1.7844,1.8066,1.2279,1.2057
2012-09-05,697.78,4075.35,353.05,28.43,140.91,1.826,1.6131,1.3935,1.6064
2012-09-06,703.53,4102.86,356.25,28.98,143.77,2.0336,1.8408,1.472,1.6648
2012-09-07,711.51,4143.68,360.84,29.37,144.33,2.1126,2.5958,1.8702,1.3869
2012-09-10,715.7,4160.66,363.28,29.13,143.51,2.2851,2.5634,5.0418,4.7634
2012-09-11,714.48,4155.36,362.49,29.19,143.91,1.7549,1.7549,1.4732,1.4732
2012-09-12,717.21,4174.1,363.81,29.26,144.39,1.9871,1.983,1.3131,1.3172
2012-09-13,715.89,4170.64,363.06,29.98,146.59,2.1784,2.6588,1.9934,1.5131
2012-09-14,732.53,4257,371.71,30.19,147.24,3.3511,4.7076,3.3381,1.9816
2012-09-17,732.87,4255.28,372.06,30.17,146.74,2.8419,3.4442,2.0709,1.4685
2012-09-18,727.57,4223.89,369.41,29.88,146.62,1.9785,7.3936,6.5922,1.1771
2012-09-19,731.05,4244.71,370.76,29.83,146.7,2.5859,2.8673,2.2383,1.9569
2012-09-20,725.45,4217.52,367.68,29.73,146.71,2.4448,2.2613,1.5325,1.716
2012-09-21,730.37,4244.62,369.96,29.82,145.87,2.5778,2.4295,2.3752,2.5235
2012-09-24,720.45,4200.91,364.92,29.54,145.65,2.4699,2.7048,1.5101,1.2751
2012-09-25,725.78,4226.89,367.28,29.32,144.1,2.5017,2.3433,1.9768,2.1352
2012-09-26,716.99,4180.16,363.17,28.97,143.29,2.6007,2.7937,1.4302,1.2372
2012-09-27,725.24,4225.02,367.4,29.9,144.64,2.6309,2.8256,1.7116,1.5169
2012-09-28,731.77,4262.56,370.7,29.87,143.97,2.2863,2.8204,2.3668,1.8326
2012-10-01,726,4236.29,367.44,29.99,144.34,2.3885,2.4113,1.6046,1.5819
2012-10-02,730.71,4256.84,369.81,29.98,144.5,2.4323,2.4506,1.4231,1.4048
2012-10-03,730.64,4251.51,369.89,30,145.09,2.8896,2.8615,1.3429,1.371
2012-10-04,736.37,4271.46,372.86,30.45,146.12,2.3954,2.6782,1.7339,1.4511
2012-10-05,744.84,4311.31,377.15,30.71,146.14,2.7952,3.4365,2.6249,1.9836
2012-10-08,739.03,4268.23,374.32,30.52,145.64,2.6753,2.8998,2.0957,1.8712
2012-10-09,741.72,4280.25,376.3,30.48,144.2,2.6339,2.5409,1.5984,1.6915
2012-10-10,742.09,4280.01,376.44,30.23,143.28,2.4588,2.5792,1.6803,1.5599
2012-10-11,741.8,4284.97,375.91,30.32,143.36,3.0213,2.869,1.6328,1.7851
2012-10-12,745.98,4311.39,377.65,30.43,142.89,3.365,3.6377,2.2272,1.9545
2012-10-15,746.6,4313.52,377.66,30.57,144.08,2.8786,2.8324,1.5376,1.5838
2012-10-16,750.08,4329.08,379.45,30.99,145.54,2.1757,2.5448,1.6599,1.2908
2012-10-17,751.66,4337.53,379.78,31.01,146.2,2.8006,3.0304,2.3074,2.0775
2012-10-18,755.63,4356.97,382.01,30.88,145.82,2.375,3.143,2.6029,1.8348
2012-10-19,750.3,4331.25,378.98,30.44,143.39,2.4306,2.4377,3.832,3.825
2012-10-22,752.3,4341.38,380.35,30.9,143.41,2.2963,3.0055,2.1284,1.4192
2012-10-23,748.46,4330.15,378.42,30.48,141.42,2.4757,2.3513,1.654,1.7784
2012-10-24,748.88,4335.38,378.65,30.5,141.02,2.4381,2.4907,1.8604,1.8078
2012-10-25,749.6,4339.15,378.51,30.68,141.43,2.1689,2.2994,1.7438,1.6133
2012-10-29,747.54,4331.36,377.69,30.68,141.43,2.7625,2.1976,1.6098,2.1748
2012-10-30,754.24,4364.6,381.28,30.68,141.43,2.7458,2.6604,1.2234,1.3088
2012-10-31,751.12,4350.29,380.08,30.48,141.35,2.9176,2.8175,1.4086,1.5087
2012-11-01,747.69,4335.36,378.93,30.9,142.83,3.8274,2.9819,2.4017,3.2472
2012-11-02,748.16,4338.89,378.94,30.76,141.56,2.7405,2.8161,2.0223,1.9467
2012-11-05,740.89,4302.94,375.09,30.68,141.85,2.31,1.9201,1.4064,1.7962
2012-11-06,742.65,4314.27,375.62,30.88,142.96,2.9125,2.3897,1.4211,1.9439
2012-11-07,751.01,4350.42,380.07,30.47,139.72,3.1584,2.4756,1.3086,1.9914
2012-11-08,746.63,4327.87,377.98,30.34,138.04,4.0137,3.6881,1.3658,1.6914
2012-11-09,746.97,4333.64,378.56,30.68,138.16,2.551,2.5372,1.4258,1.4396
2012-11-12,743.05,4318.59,376.41,30.73,138.26,2.0165,2.5214,1.7939,1.289
2012-11-13,744.64,4332.08,377.38,30.93,137.79,2.7073,2.0512,1.8335,2.4895
2012-11-14,748.28,4351.28,379.36,30.32,135.93,2.7137,2.5362,1.8348,2.0123
2012-11-19,739.65,4313.44,374.6,30.9,139.13,2.6628,2.4594,2.1976,2.4011
2012-11-20,739.79,4312.37,374.74,30.73,139.19,2.5797,2.4562,1.6508,1.7743
2012-11-21,739.83,4317.28,374.78,30.62,139.45,2.5865,2.3785,1.3663,1.5743
2012-11-22,744.44,4335.93,377.07,30.62,139.45,2.6324,2.7771,1.9043,1.7596
2012-11-23,746.41,4348.81,378.25,30.86,141.35,3.4953,3.7835,1.5702,1.2819
2012-11-26,752.03,4375.17,381.25,31.08,141.05,2.6534,2.7186,1.3401,1.2748
2012-11-27,742.81,4337.51,376.31,30.47,140.33,3.1651,2.9148,1.5915,1.8418
2012-11-28,735.88,4304.82,373.28,30.31,141.46,3.6077,3.4052,3.3381,3.5406
2012-11-29,738.45,4319.09,374.56,30.22,142.12,2.746,2.6609,2.0536,2.1387
2012-11-30,726.81,4276.14,369.23,29.96,142.16,4.6522,5.1863,4.1388,3.6047
2012-12-03,733.67,4302.44,372.18,30.21,141.45,3.692,4.1117,3.6359,3.2162
2012-12-04,725.18,4269.65,367.2,29.85,141.25,3.4491,2.9121,2.1458,2.6828
2012-12-05,727.69,4286.84,368.38,29.73,141.5,3.3078,2.7544,2.3076,2.8609
2012-12-06,728.08,4292.6,368.2,30,141.98,3.1654,2.9945,3.0782,3.2491
2012-12-07,727.41,4290.8,368.18,29.91,142.41,3.3701,2.909,2.0254,2.4865
2012-12-10,731.66,4302.61,370.34,30.12,142.47,3.8086,3.5692,1.9106,2.15
2012-12-11,736.55,4317.92,372.7,30.22,143.44,4.1565,4.0364,2.1137,2.2338
2012-12-12,742.69,4337.53,376.03,30.41,143.51,4.2898,4.407,2.6951,2.5779
2012-12-13,738.7,4320.19,373.67,30.35,142.63,4.261,4.9095,3.0193,2.3707
2012-12-14,735.88,4308.86,372.29,30.19,142.11,2.8423,2.8281,1.9307,1.9448
2012-12-17,737.56,4315.86,373.27,30.48,143.77,2.8318,2.8982,2.5301,2.4637
2012-12-18,735.75,4301.44,372.62,30.41,145.37,3.1969,3.2742,2.2927,2.2154
2012-12-19,731.75,4275.86,371.07,29.96,144.29,3.5948,3.8755,2.4027,2.122
2012-12-20,726.36,4254.82,368.46,29.89,145.12,2.4406,2.582,1.857,1.7157
2012-12-21,725.92,4250.21,367.8,29.81,142.79,2.4672,2.4139,1.9778,2.031
2012-12-26,729.6,4275.09,369.58,29.6,141.75,2.4096,2.3866,0.9962,1.0191
2012-12-27,730.01,4281.86,369.64,29.61,141.56,3.2821,3.3872,1.2183,1.1133
2012-12-28,735.04,4316.69,372.29,29.86,140.03,3.2802,3.7188,2.2938,1.8552
2013-01-02,742.79,4346.48,375.88,30.61,146.06,3.1782,3.2609,1.5399,1.4571
2013-01-03,753.13,4399.26,380.99,30.68,145.73,3.5719,4.2426,2.779,2.1083
2013-01-04,753.88,4410.02,381.4,30.78,146.37,2.912,3.4085,2.1974,1.7008
2013-01-07,750.66,4392.38,379.76,30.56,145.97,2.368,3.1932,2.4761,1.6509
2013-01-08,752.22,4397.55,380.6,30.45,145.55,2.8458,3.1712,2.1878,1.8623
2013-01-09,744.61,4362.93,377.08,30.22,145.92,3.1502,3.2758,2.3082,2.1826
2013-01-10,733.91,4317.36,371.07,29.76,147.08,2.677,2.4465,2.2608,2.4913
2013-01-11,731.88,4305.91,369.93,29.57,147.07,2.5333,2.2736,2.0474,2.3071
2013-01-14,749.45,4382.5,378.81,30.04,146.97,2.7864,3.2484,2.1258,1.6638
2013-01-15,754.49,4400.82,381.8,30.34,147.07,3.2086,3.5561,1.7795,1.4321
2013-01-16,756.99,4410.96,383.32,30.61,147.05,2.6644,3.1355,1.9899,1.5188
2013-01-17,752.3,4398.38,380.95,30.53,148,2.016,2.1106,1.9068,1.8122
2013-01-18,766.92,4465.48,388.86,30.98,148.33,2.3828,2.9492,2.8297,2.2633
2013-01-21,760,4439.97,385.26,30.98,148.33,2.4925,2.3905,1.5325,1.6346
2013-01-22,755.26,4416.55,382.64,30.86,149.13,3.2272,3.1677,1.6206,1.6801
2013-01-23,755.22,4418.73,382.69,30.64,149.37,2.2416,2.2912,1.618,1.5684
2013-01-25,758.47,4437.6,384.75,30.64,150.25,2.8853,3.7082,3.1963,2.3735
2013-01-28,754.7,4416.94,382.78,30.23,150.07,2.2025,2.1372,1.6709,1.7362
2013-01-29,757.65,4439.03,384.07,30.63,150.66,2.7712,2.9682,3.6067,3.4097
2013-01-30,761.14,4452.98,385.62,30.68,150.07,2.761,3.1795,2.4919,2.0735
2013-01-31,761.26,4453.7,386.31,30.78,149.7,2.9998,3.4567,2.7391,2.2823
2013-02-01,766.18,4481.63,388.5,31.46,151.24,3.511,4.2467,2.751,2.0153
2013-02-04,768.21,4490.56,389.72,31.05,149.53,2.8768,3.3388,2.7865,2.3245
2013-02-05,766.85,4479.44,389.27,31.34,151.05,3.2669,4.0585,2.4937,1.7021
2013-02-06,769.85,4498.98,390.32,31.34,151.16,3.1942,3.6501,2.251,1.7952
2013-02-07,770.39,4503.15,390.92,31.31,150.96,3.0256,5.0966,4.071,2.0001
2013-02-08,768.85,4491.27,390.39,31.73,151.8,4.0638,3.1278,2.3895,3.3254
2013-02-11,771.33,4503.25,391.93,31.95,151.77,1.803,1.9603,0.9666,0.8092
2013-02-12,780.53,4548.24,396.62,32.38,152.02,2.6235,3.1404,1.4865,0.9697
2013-02-13,784.91,4571.57,399.07,32.39,152.15,3.1871,3.6572,2.0078,1.5377
2013-02-14,786.3,4588.67,399.75,32.52,152.29,3.9819,4.3391,2.6387,2.2815
2013-02-15,789.82,4609.79,401.65,32.63,152.11,3.6435,4.0363,2.1211,1.7284
2013-02-18,789.21,4612.05,401.53,32.63,152.11,2.8712,3.355,1.802,1.3182
2013-02-19,786.67,4602.06,400.25,32.61,153.25,4.5805,5.3028,2.3864,1.6641
2013-02-20,791,4634.45,402.37,32.31,151.34,4.1764,4.4485,2.3853,2.1133
2013-02-21,790.71,4632.4,402.42,32.14,150.42,3.88,4.6419,2.8984,2.1365
2013-02-22,794.29,4651.12,404.54,32.52,151.89,4.0212,5.0779,2.9115,1.8548
2013-02-25,805.65,4696.11,410.18,32.57,149,4.1217,4.5394,2.4179,2.0001
2013-02-26,798.76,4663.03,406.5,32.86,150.02,3.466,3.7575,1.9232,1.6316
2013-02-27,808.53,4716.41,411.28,33.81,151.91,4.3785,5.2011,3.0557,2.233
2013-02-28,824.74,4795.79,420.05,34.11,151.61,4.1258,5.0648,3.2316,2.2926
2013-03-01,827.97,4811.61,421.77,34.36,152.11,3.7266,5.8682,4.1451,2.0036
2013-03-04,818.15,4761.46,416.73,33.84,152.92,3.8551,4.0634,2.3705,2.1622
2013-03-05,814.92,4751.7,414.36,33.95,154.29,3.6882,3.6648,1.9408,1.9642
2013-03-06,829.4,4824.68,421.47,34.38,154.5,4.5108,5.1235,2.7453,2.1326
2013-03-07,832.32,4848.3,423.04,34.46,154.78,3.8448,4.2565,2.4755,2.0638
2013-03-08,837.28,4874.49,425.95,34.87,155.44,5.0494,4.7626,2.7299,3.0167
2013-03-11,831.71,4854.31,423.47,34.56,156.03,3.4074,3.5649,1.9372,1.7797
2013-03-13,827.75,4835.44,421.19,34,155.91,4.1873,3.9102,3.0569,3.334
2013-03-14,816.59,4786.37,414.96,33.73,156.73,4.7354,4.3047,2.3967,2.8275
2013-03-15,821.75,4819.32,417.56,33.93,155.83,4.8015,4.3777,3.3395,3.7633
2013-03-18,820.22,4802.83,416.92,33.75,154.97,3.7169,3.7467,2.1397,2.1099
2013-03-19,822.28,4822.63,417.59,33.76,154.61,5.1244,4.8711,2.1302,2.3835
2013-03-20,823.53,4831.5,419,34.19,155.69,5.1066,5.1172,2.4849,2.4743
2013-03-21,816.13,4802.67,415.18,33.56,154.36,5.8577,5.4392,2.3583,2.7768
2013-03-22,798.86,4723.16,406.69,33.2,155.6,5.3002,4.9989,2.7928,3.0941
2013-03-25,810.03,4799.66,411.75,33.13,154.95,5.3083,4.3568,15.6651,16.6165
2013-03-26,818.84,4842.52,416.3,34.12,156.19,4.4118,4.8928,4.2398,3.7589
2013-03-27,834.41,4928.1,424.42,34.61,156.19,5.1235,5.7476,3.6486,3.0245
2013-03-28,836.87,4940.99,425.95,34.84,156.67,4.0325,4.5495,3.1141,2.5971
2013-04-01,833.52,4937.57,423.74,34.41,156.05,3.8042,4.177,1.7759,1.4031
2013-04-02,837.02,4957.25,425.94,34.59,156.82,4.1787,4.5363,2.0272,1.6696
2013-04-03,843.49,4981.47,428.71,34.4,155.23,4.3816,4.9363,2.5471,1.9925
2013-04-04,830.13,4922.61,422.05,34.08,155.86,5.1177,4.5785,2.2354,2.7746
2013-04-05,830.66,4926.07,421.92,34.07,155.16,3.3676,3.4395,2.1155,2.0436
2013-04-08,825.46,4897.52,419.29,33.92,156.21,4.1238,3.1814,2.0928,3.0352
2013-04-09,827.23,4899.59,420.78,34.22,156.75,3.4401,3.0395,2.4456,2.8462
2013-04-10,822.87,4877.48,418.27,34.24,158.67,3.5642,3.2993,4.0829,4.3478
2013-04-11,832.17,4924.26,423.62,34.38,159.19,4.584,4.4307,2.889,3.0424
2013-04-12,834.12,4937.21,424.47,34.1,158.8,3.4138,3.5631,2.4926,2.3433
2013-04-15,825.6,4894.59,419.92,33.5,155.12,2.5014,2.0316,1.6903,2.1601
2013-04-16,838.42,4945.25,426.95,34.66,157.41,3.3897,3.0606,2.3677,2.6968
2013-04-17,847.89,4998.65,432.02,34.63,155.11,3.4777,4.0958,3.1572,2.5391
2013-04-18,849.55,5012.64,432.77,34.75,154.14,3.5773,3.987,3.1245,2.7147
2013-04-19,846.95,4998.46,431.47,34.88,155.48,3.8463,4.0933,2.9085,2.6614
2013-04-22,847.37,4996.92,431.87,35.09,156.17,3.2866,3.6041,2.3183,2.0008
2013-04-23,842.98,4975.33,429.57,35.35,157.78,3.3878,4.1048,2.8772,2.1602
2013-04-24,850.66,5011.61,433.25,35.4,157.88,3.3477,3.3045,2.4254,2.4686
2013-04-25,847.82,4994.52,431.41,35.15,158.52,4.5595,4.184,2.768,3.1436
2013-04-26,841.93,4978.51,428.1,34.64,158.24,3.9074,3.6899,2.2645,2.4821
2013-04-29,848.43,4999.75,431.94,35.35,159.3,2.7721,2.875,1.6379,1.5349
2013-04-30,857.12,5034.07,436.67,35.57,159.68,4.5574,5.0964,3.4652,2.9262
2013-05-01,860.04,5060.92,438.03,35.27,158.28,4.392,4.3994,2.1604,2.153
2013-05-02,847.29,4994.05,431.25,35.24,159.75,5.1823,12.4764,10.666,3.3718
2013-05-03,833.61,4925.48,424.27,34.76,161.37,4.4545,3.6332,2.4611,3.2824
2013-05-06,845.94,4991.87,430.76,34.91,161.78,3.5037,2.9548,1.8308,2.3797
2013-05-07,853.84,5042.79,434.9,35.37,162.6,4.1966,3.8914,2.4302,2.7354
2013-05-08,859.37,5089.34,438.08,35.5,163.34,4.1273,4.3029,5.5989,5.4233
2013-05-10,861.47,5105.94,439.85,35.48,163.41,3.3362,3.273,9.3067,9.3699
2013-05-13,851.08,5054.63,434.39,35.11,163.54,3.6508,3.1576,2.1045,2.5976
2013-05-14,856.87,5081.94,437.24,35.48,165.23,3.7098,3.5555,2.8498,3.0042
2013-05-15,856.89,5089.88,437.18,35.37,166.12,3.536,3.0628,2.1632,2.6364
2013-05-16,856.07,5078.68,436.66,35.13,165.34,3.6427,3.6282,2.5684,2.5829
2013-05-17,870.03,5145.68,443.97,35.63,166.94,3.6466,3.6687,2.4848,2.4627
2013-05-20,884.13,5214.98,451.3,36.16,166.93,4.3871,4.92,3.4904,2.9576
2013-05-21,878.99,5188.76,448.63,35.91,167.17,4.2244,4.226,3.1038,3.1022
2013-05-22,880.18,5208,448.68,35.78,165.93,5.1266,5.3862,3.6948,3.4352
2013-05-23,864.87,5121.4,440.79,35.35,165.45,5.7837,5.0631,4.0211,4.7416
2013-05-24,869.64,5155.09,443.12,34.99,165.31,4.454,3.7943,1.8784,2.5381
2013-05-27,852.86,5085.14,433.83,34.99,165.31,4.9303,3.6328,1.992,3.2895
2013-05-28,871.57,5176.23,443.58,35.36,166.3,5.6871,5.5388,2.5874,2.7357
2013-05-29,876.19,5200.69,446.22,35.2,165.22,6.429,5.5407,4.8141,5.7024
2013-05-30,857.76,5129.65,436.31,34.81,165.83,5.8067,4.3674,1.9168,3.3561
2013-05-31,839.47,5068.63,425.63,33.81,163.44,6.3676,5.7459,7.0791,7.7008
2013-06-03,823.71,4971.35,418.46,34.05,164.35,5.9932,4.3139,4.0766,5.7559
2013-06-04,836.73,5021.61,425.35,33.56,163.56,5.2728,4.2878,2.6938,3.6788
2013-06-05,831.09,5001.22,421.93,32.76,161.27,5.1483,4.5333,2.4399,3.0548
2013-06-07,801.34,4865.32,406.66,32.51,164.8,4.5974,2.7824,3.1597,4.9747
2013-06-10,785.91,4777.36,398.81,31.08,164.8,4.8034,3.5709,2.7731,4.0056
2013-06-11,757.28,4609.95,384.06,29.87,163.1,10.1017,6.1191,3.3883,7.3708
2013-06-12,777.53,4697.88,394.93,30.22,161.75,6.9563,4.7857,3.7212,5.8918
2013-06-13,759.5,4607.66,385.93,31.4,164.21,6.3514,4.9589,4.765,6.1575
2013-06-14,790.34,4760.74,402.72,31.53,163.18,4.8146,4.4498,3.2614,3.6262
2013-06-17,792.71,4774.5,403.92,31.95,164.44,5.2736,4.9631,2.9008,3.2113
2013-06-18,803.88,4840.45,409.58,32.52,165.74,5.0833,4.8587,3.1476,3.3722
2013-06-19,795.89,4806.66,405.55,30.9,163.45,4.2587,3.4574,4.832,5.6333
2013-06-20,760.6,4629.99,386.99,28.64,159.4,4.6319,3.3547,2.3357,3.6129
2013-06-21,736.26,4515.37,374.72,29.51,159.07,5.7074,3.4477,3.5877,5.8473
2013-06-24,724.25,4429.46,368.21,28.72,157.06,3.6163,2.9356,1.9897,2.6705
2013-06-25,719.58,4418.87,365.51,29.16,158.57,4.3961,3.2001,2.0041,3.2001
2013-06-26,755.46,4587.73,384.52,30.93,160.14,4.1358,3.9803,3.944,4.0995
2013-06-27,773.39,4675.75,394.02,31.49,161.08,4.4944,4.5444,3.7446,3.6945
2013-06-28,804,4818.9,410.65,31.17,160.42,3.6399,4.6008,4.2398,3.2788
2013-07-01,794.7,4777.45,405.34,31.03,161.36,3.1024,2.8009,1.6787,1.9802
2013-07-02,784.12,4728.7,400.17,30.43,161.21,2.7083,2.3447,1.8237,2.1873
